City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Snow,Rain,Weather Description
136,Norsup,-16.07,167.38,78.8,83,75,9.17,VU,2020-07-12 21:12:28,0,0.0,broken clouds
137,North Bay,46.32,-79.47,69.8,64,75,10.29,CA,2020-07-12 21:11:23,0,0.0,broken clouds
138,Bethel,41.37,-73.41,88.0,51,1,9.17,US,2020-07-12 21:07:43,0,0.0,clear sky
139,Wajima,37.4,136.9,67.8,76,100,2.51,JP,2020-07-12 21:12:28,0,0.0,overcast clouds
140,Kilindoni,-7.91,39.67,77.45,75,0,14.81,TZ,2020-07-12 21:12:29,0,0.0,clear sky
141,Tuatapere,-46.13,167.68,39.0,83,72,3.0,NZ,2020-07-12 21:07:54,0,0.0,broken clouds
142,Zabid,14.2,43.32,90.18,49,65,7.99,YE,2020-07-12 21:12:29,0,0.0,broken clouds
143,Pangnirtung,66.15,-65.71,50.0,81,75,13.87,CA,2020-07-12 21:08:16,0,0.0,shower rain
144,Oksfjord,70.24,22.35,59.0,62,100,8.05,NO,2020-07-12 21:12:29,0,2.0,moderate rain
145,Hualmay,-11.1,-77.61,66.0,68,7,7.31,PE,2020-07-12 21:12:29,0,0.0,clear sky
146,Cap Malheureux,-19.98,57.61,71.01,74,7,8.01,MU,2020-07-12 21:09:58,0,0.12,light rain
147,Aykhal,66.0,111.5,53.6,76,75,4.47,RU,2020-07-12 21:08:01,0,0.0,broken clouds
148,Grand Gaube,-20.01,57.66,71.01,74,10,8.01,MU,2020-07-12 21:12:29,0,0.13,light rain
149,Tomatlan,19.93,-105.25,91.53,50,100,2.46,MX,2020-07-12 21:12:30,0,0.0,overcast clouds
150,Mehamn,71.04,27.85,46.4,87,90,5.82,NO,2020-07-12 21:12:30,0,0.0,overcast clouds
151,Sinnamary,5.38,-52.95,79.81,86,48,10.07,GF,2020-07-12 21:09:00,0,0.22,light rain
152,Kaeo,-35.1,173.78,55.0,3,46,3.0,NZ,2020-07-12 21:12:30,0,0.0,scattered clouds
153,Severo-Kurilsk,50.68,156.12,49.71,92,100,9.19,RU,2020-07-12 21:12:30,0,0.0,overcast clouds
154,Codrington,-38.27,141.97,43.77,90,0,3.49,AU,2020-07-12 21:12:30,0,0.0,clear sky
155,Tromso,69.65,18.96,51.8,87,75,5.82,NO,2020-07-12 21:12:30,0,0.0,shower rain
156,Zeya,53.75,127.27,71.96,77,86,1.88,RU,2020-07-12 21:08:38,0,0.0,overcast clouds
157,Gilleleje,56.12,12.31,59.0,82,43,1.01,DK,2020-07-12 21:12:31,0,0.0,scattered clouds
158,Wolsztyn,52.12,16.12,59.0,58,29,2.24,PL,2020-07-12 21:12:31,0,0.0,scattered clouds
159,Nome,64.5,-165.41,64.99,67,1,4.7,US,2020-07-12 21:10:13,0,0.0,clear sky
160,Kamenka,51.32,42.77,71.01,68,47,4.0,RU,2020-07-12 21:11:17,0,0.0,scattered clouds
161,Karratha,-20.74,116.85,60.12,32,32,13.76,AU,2020-07-12 21:12:31,0,0.0,scattered clouds
162,Hambantota,6.12,81.12,80.65,80,96,16.87,LK,2020-07-12 21:11:00,0,0.0,overcast clouds
163,Atuona,-9.8,-139.03,80.6,73,1,22.46,PF,2020-07-12 21:12:31,0,0.0,clear sky
164,Mahajanga,-15.72,46.32,71.6,60,20,2.24,MG,2020-07-12 21:08:15,0,0.0,few clouds
165,Komsomolskiy,40.43,71.72,75.2,53,100,2.24,UZ,2020-07-12 21:12:31,0,0.0,overcast clouds
166,Oranjemund,-28.55,16.43,55.29,78,0,10.74,NA,2020-07-12 21:12:32,0,0.0,clear sky
167,Straseni,47.14,28.61,62.6,72,75,17.22,MD,2020-07-12 21:12:32,0,0.0,broken clouds
168,Road Town,18.42,-64.62,87.8,70,40,13.87,VG,2020-07-12 21:12:32,0,0.0,scattered clouds
169,Porto Novo,6.5,2.6,77.0,94,20,6.93,BJ,2020-07-12 21:09:06,0,0.0,few clouds
170,Challapata,-18.9,-66.77,52.21,28,0,4.52,BO,2020-07-12 21:12:32,0,0.0,clear sky
171,Tasiilaq,65.61,-37.64,41.0,86,0,11.41,GL,2020-07-12 21:08:59,0,0.0,light intensity drizzle
172,Kailua,21.4,-157.74,84.2,48,75,16.11,US,2020-07-12 21:09:15,0,0.0,broken clouds
173,Whyalla,-33.03,137.58,42.8,100,90,3.36,AU,2020-07-12 21:12:32,0,0.0,overcast clouds
174,Faanui,-16.48,-151.75,79.16,73,100,16.04,PF,2020-07-12 21:12:33,0,0.0,overcast clouds
175,Yerbogachen,61.28,108.01,55.8,87,0,3.76,RU,2020-07-12 21:08:37,0,0.0,clear sky
176,Seymchan,62.88,152.43,70.63,44,73,4.25,RU,2020-07-12 21:12:33,0,0.0,broken clouds
177,Douglas,41.3,-96.17,86.0,42,40,5.82,US,2020-07-12 21:12:33,0,0.0,scattered clouds
